카테고리,레시피,1인분(서빙),재료,드레싱/소스,조리 단계,목표 단백질(g),보관/소비 팁,옵션/대체
샐러드,연어 사시미 샐러드(당일),대형 볼 1인분,"회용 연어 150g, 아보카도 50g, 오이 100g, 적양파 20g, 잎채소 120g",폰즈 20ml(또는 간장 10ml+레몬 10ml) + 참깨,1) 재료 차갑게. 2) 연어 먹기 직전 썰어 올리고 드레싱. 3) 즉시 섭취.,32–40,사시미는 당일 섭취.,연어 +50g
샐러드,연어 포케 스타일(당일),대형 볼 1인분,"회용 연어 150g, 미역 50g(불림), 오이 80g, 아보카도 50g, 잎채소 100g",간장 10ml + 라임 10ml + 참기름 5ml + 참깨,1) 재료 준비. 2) 버무림. 3) 현미 100g 옵션.,32–40,당일 섭취.,연어 +50g
샐러드,병아리콩&단호박,대형 볼 1인분,"병아리콩 180g, 구운 단호박 150g, 잎채소 120g",올리브오일 10ml + 레몬 10ml + 커민 한꼬집,1) 단호박 구워 식힘. 2) 섞어 드레싱.,20–25,콩은 헹궈 소금기 제거.,닭 100g 추가
샐러드,정어리 토마토,대형 볼 1인분,"정어리캔 150g(체), 토마토 150g, 루콜라 120g",올리브오일 10ml + 레몬 10ml + 후추,"1) 토마토 큼직, 정어리 덩어리 채로. 2) 드레싱.",35–40,뼈째 섭취.,삶은달걀 1개
샐러드,훈제연어&요거트 딜,대형 볼 1인분,"훈제연어 100g, 오이 120g, 잎채소 120g, 케이퍼 5g",그릭요거트 40g + 레몬 10ml + 딜,1) 채소 깔고 연어·오이·드레싱.,30–40,훈제연어 3일 내.,연어 +50g
샐러드,닭+로메인 시저(요거트),대형 볼 1인분,"닭가슴 220g, 로메인 160g, 파르메산 10g",요거트 40g + 레몬 10ml + 마늘 1/2t + 앤초비 3g(선택),1) 로메인 손질. 2) 닭·드레싱·파르메산.,65–80,드레싱 당일 사용.,닭 +30g
샐러드,렌틸&채소 믹스,대형 볼 1인분,"렌틸 180g(파우치), 오이 100g, 파프리카 80g, 적양파 20g, 잎채소 120g",올리브오일 10ml + 레몬 10ml + 머스터드 5g,1) 렌틸 데워 식힘. 2) 섞어 드레싱.,20–25,잔량 1–2일 내.,닭 120g 추가
요거트,블루베리 60g + 호두 10g,컵 1,그릭요거트 80g + 블루베리 60g + 호두 10g,—,섞어 바로 섭취,8–10,대용량 요거트는 월/목 오픈,—
요거트,키위 1개,컵 1,그릭요거트 80g + 키위 1,—,키위 깍둑썰어 토핑,8–10,—,—
요거트,아몬드 15g,컵 1,그릭요거트 80g + 아몬드 15g,—,거칠게 다져 올림,9–11,—,—
요거트,사과 1/2 + 시나몬,컵 1,그릭요거트 80g + 사과 1/2 + 시나몬,—,사과 잘게 썰어 토핑,8–10,—,—
요거트,피스타치오 15g,컵 1,그릭요거트 80g + 피스타치오 15g,—,껍질 제거·다져 올림,9–11,—,—
요거트,바나나 1/2,컵 1,그릭요거트 80g + 바나나 1/2,—,슬라이스로 얹기,8–10,—,—
요거트,치아씨 10g,컵 1,그릭요거트 80g + 치아씨 10g,—,5–10분 불려 섞기,8–10,수분 충분히,—
요거트,딸기 100g,컵 1,그릭요거트 80g + 딸기 100g,—,슬라이스,8–10,—,—
